IdBundesland,Bundesland,Landkreis,Altersgruppe,Geschlecht,AnzahlFall,AnzahlTodesfall,FID,Meldedatum,IdLandkreis,Datenstand,NeuerFall,NeuerTodesfall
3,Niedersachsen,LK Goslar,A60-A79,M,2,0,444297,2020-03-13,03153,2020-03-28,0,-9
3,Niedersachsen,LK Goslar,A60-A79,M,1,0,444298,2020-03-18,03153,2020-03-28,0,-9
3,Niedersachsen,LK Goslar,A60-A79,M,1,0,444299,2020-03-23,03153,2020-03-28,0,-9
3,Niedersachsen,LK Goslar,A60-A79,M,1,0,444300,2020-03-24,03153,2020-03-28,0,-9
3,Niedersachsen,LK Goslar,A60-A79,M,1,0,444301,2020-03-25,03153,2020-03-28,0,-9
3,Niedersachsen,LK Goslar,A60-A79,M,1,0,444302,2020-03-26,03153,2020-03-28,1,-9
3,Niedersachsen,LK Goslar,A60-A79,W,2,0,444303,2020-03-13,03153,2020-03-28,0,-9
3,Niedersachsen,LK Goslar,A60-A79,W,1,0,444304,2020-03-14,03153,2020-03-28,0,-9
3,Niedersachsen,LK Goslar,A60-A79,W,1,0,444305,2020-03-20,03153,2020-03-28,0,-9
3,Niedersachsen,LK Goslar,A60-A79,W,2,0,444306,2020-03-24,03153,2020-03-28,0,-9
3,Niedersachsen,LK Goslar,A60-A79,W,2,0,444307,2020-03-26,03153,2020-03-28,1,-9
3,Niedersachsen,LK Goslar,A80+,M,2,0,444308,2020-03-26,03153,2020-03-28,1,-9
3,Niedersachsen,LK Helmstedt,A05-A14,W,1,0,444309,2020-03-27,03154,2020-03-28,1,-9
3,Niedersachsen,LK Helmstedt,A15-A34,M,1,0,444310,2020-03-13,03154,2020-03-28,0,-9
3,Niedersachsen,LK Helmstedt,A15-A34,M,4,0,444311,2020-03-18,03154,2020-03-28,0,-9
3,Niedersachsen,LK Helmstedt,A15-A34,M,1,0,444312,2020-03-20,03154,2020-03-28,0,-9
3,Niedersachsen,LK Helmstedt,A15-A34,M,2,0,444313,2020-03-21,03154,2020-03-28,0,-9
3,Niedersachsen,LK Helmstedt,A15-A34,M,1,0,444314,2020-03-23,03154,2020-03-28,0,-9
3,Niedersachsen,LK Helmstedt,A15-A34,M,1,0,444315,2020-03-24,03154,2020-03-28,0,-9
3,Niedersachsen,LK Helmstedt,A15-A34,M,1,0,444316,2020-03-26,03154,2020-03-28,0,-9
3,Niedersachsen,LK Helmstedt,A15-A34,M,1,0,444317,2020-03-27,03154,2020-03-28,1,-9
3,Niedersachsen,LK Helmstedt,A15-A34,W,2,0,444318,2020-03-21,03154,2020-03-28,0,-9
3,Niedersachsen,LK Helmstedt,A15-A34,W,1,0,444319,2020-03-24,03154,2020-03-28,0,-9
3,Niedersachsen,LK Helmstedt,A15-A34,W,1,0,444320,2020-03-26,03154,2020-03-28,0,-9
3,Niedersachsen,LK Helmstedt,A35-A59,M,1,0,444321,2020-03-13,03154,2020-03-28,0,-9
3,Niedersachsen,LK Helmstedt,A35-A59,M,1,0,444322,2020-03-18,03154,2020-03-28,0,-9
3,Niedersachsen,LK Helmstedt,A35-A59,M,1,0,444323,2020-03-19,03154,2020-03-28,0,-9
3,Niedersachsen,LK Helmstedt,A35-A59,M,1,0,444324,2020-03-20,03154,2020-03-28,0,-9
3,Niedersachsen,LK Helmstedt,A35-A59,M,4,0,444325,2020-03-26,03154,2020-03-28,0,-9
3,Niedersachsen,LK Helmstedt,A35-A59,M,2,0,444326,2020-03-27,03154,2020-03-28,1,-9
3,Niedersachsen,LK Helmstedt,A35-A59,W,1,0,444327,2020-03-20,03154,2020-03-28,0,-9
3,Niedersachsen,LK Helmstedt,A35-A59,W,1,0,444328,2020-03-21,03154,2020-03-28,0,-9
