IdBundesland,Bundesland,Landkreis,Altersgruppe,Geschlecht,AnzahlFall,AnzahlTodesfall,FID,Meldedatum,IdLandkreis,Datenstand,NeuerFall,NeuerTodesfall
1,Schleswig-Holstein,SK Flensburg,A15-A34,M,1,0,560098,2020/03/14,01001,2020/03/31,0,-9
1,Schleswig-Holstein,SK Flensburg,A15-A34,M,2,0,560099,2020/03/19,01001,2020/03/31,0,-9
1,Schleswig-Holstein,SK Flensburg,A15-A34,M,1,0,560100,2020/03/21,01001,2020/03/31,0,-9
1,Schleswig-Holstein,SK Flensburg,A15-A34,M,1,0,560101,2020/03/27,01001,2020/03/31,0,-9
1,Schleswig-Holstein,SK Flensburg,A15-A34,W,1,0,560102,2020/03/14,01001,2020/03/31,0,-9
1,Schleswig-Holstein,SK Flensburg,A15-A34,W,2,0,560103,2020/03/18,01001,2020/03/31,0,-9
1,Schleswig-Holstein,SK Flensburg,A15-A34,W,1,0,560104,2020/03/28,01001,2020/03/31,0,-9
1,Schleswig-Holstein,SK Flensburg,A35-A59,M,1,0,560105,2020/03/14,01001,2020/03/31,0,-9
1,Schleswig-Holstein,SK Flensburg,A35-A59,M,1,0,560106,2020/03/20,01001,2020/03/31,0,-9
1,Schleswig-Holstein,SK Flensburg,A35-A59,W,1,0,560107,2020/03/14,01001,2020/03/31,0,-9
1,Schleswig-Holstein,SK Flensburg,A35-A59,W,2,0,560108,2020/03/19,01001,2020/03/31,0,-9
1,Schleswig-Holstein,SK Flensburg,A35-A59,W,1,0,560109,2020/03/20,01001,2020/03/31,0,-9
1,Schleswig-Holstein,SK Flensburg,A35-A59,W,1,0,560110,2020/03/28,01001,2020/03/31,0,-9
1,Schleswig-Holstein,SK Flensburg,A35-A59,W,1,0,560111,2020/03/29,01001,2020/03/31,0,-9
1,Schleswig-Holstein,SK Flensburg,A60-A79,M,1,0,560112,2020/03/24,01001,2020/03/31,0,-9
1,Schleswig-Holstein,SK Flensburg,A60-A79,M,2,0,560113,2020/03/26,01001,2020/03/31,0,-9
1,Schleswig-Holstein,SK Flensburg,A60-A79,W,2,0,560114,2020/03/26,01001,2020/03/31,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,560115,2020/03/10,01002,2020/03/31,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,M,2,0,560116,2020/03/11,01002,2020/03/31,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,560117,2020/03/13,01002,2020/03/31,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,560118,2020/03/14,01002,2020/03/31,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,560119,2020/03/16,01002,2020/03/31,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,560120,2020/03/18,01002,2020/03/31,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,560121,2020/03/20,01002,2020/03/31,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,560122,2020/03/21,01002,2020/03/31,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,M,2,0,560123,2020/03/23,01002,2020/03/31,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,560124,2020/03/25,01002,2020/03/31,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,M,2,0,560125,2020/03/27,01002,2020/03/31,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,M,2,0,560126,2020/03/28,01002,2020/03/31,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,560127,2020/03/29,01002,2020/03/31,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,W,1,0,560128,2020/03/10,01002,2020/03/31,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,W,1,0,560129,2020/03/12,01002,2020/03/31,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,W,3,0,560130,2020/03/16,01002,2020/03/31,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,W,1,0,560131,2020/03/17,01002,2020/03/31,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,W,2,0,560132,2020/03/18,01002,2020/03/31,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,W,3,0,560133,2020/03/19,01002,2020/03/31,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,W,1,0,560134,2020/03/20,01002,2020/03/31,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,W,1,0,560135,2020/03/22,01002,2020/03/31,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,W,3,0,560136,2020/03/23,01002,2020/03/31,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,W,1,0,560137,2020/03/24,01002,2020/03/31,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,W,2,0,560138,2020/03/26,01002,2020/03/31,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,W,3,0,560139,2020/03/27,01002,2020/03/31,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,W,2,0,560140,2020/03/28,01002,2020/03/31,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,W,1,0,560141,2020/03/29,01002,2020/03/31,0,-9
1,Schleswig-Holstein,SK Kiel,A35-A59,M,1,0,560142,2020/03/11,01002,2020/03/31,0,-9
1,Schleswig-Holstein,SK Kiel,A35-A59,M,1,0,560143,2020/03/12,01002,2020/03/31,0,-9
1,Schleswig-Holstein,SK Kiel,A35-A59,M,3,0,560144,2020/03/19,01002,2020/03/31,0,-9
1,Schleswig-Holstein,SK Kiel,A35-A59,M,1,0,560145,2020/03/21,01002,2020/03/31,0,-9
1,Schleswig-Holstein,SK Kiel,A35-A59,M,1,0,560146,2020/03/24,01002,2020/03/31,0,-9
1,Schleswig-Holstein,SK Kiel,A35-A59,M,1,0,560147,2020/03/25,01002,2020/03/31,0,-9
1,Schleswig-Holstein,SK Kiel,A35-A59,M,1,0,560148,2020/03/26,01002,2020/03/31,0,-9
1,Schleswig-Holstein,SK Kiel,A35-A59,M,1,0,560149,2020/03/27,01002,2020/03/31,0,-9
1,Schleswig-Holstein,SK Kiel,A35-A59,M,1,0,560150,2020/03/28,01002,2020/03/31,0,-9
1,Schleswig-Holstein,SK Kiel,A35-A59,W,1,0,560151,2020/03/10,01002,2020/03/31,0,-9
1,Schleswig-Holstein,SK Kiel,A35-A59,W,1,0,560152,2020/03/11,01002,2020/03/31,0,-9
1,Schleswig-Holstein,SK Kiel,A35-A59,W,2,0,560153,2020/03/12,01002,2020/03/31,0,-9
1,Schleswig-Holstein,SK Kiel,A35-A59,W,1,0,560154,2020/03/16,01002,2020/03/31,0,-9
1,Schleswig-Holstein,SK Kiel,A35-A59,W,1,0,560155,2020/03/17,01002,2020/03/31,0,-9
1,Schleswig-Holstein,SK Kiel,A35-A59,W,1,0,560156,2020/03/18,01002,2020/03/31,0,-9
1,Schleswig-Holstein,SK Kiel,A35-A59,W,2,0,560157,2020/03/19,01002,2020/03/31,0,-9
1,Schleswig-Holstein,SK Kiel,A35-A59,W,1,0,560158,2020/03/23,01002,2020/03/31,0,-9
1,Schleswig-Holstein,SK Kiel,A35-A59,W,1,0,560159,2020/03/24,01002,2020/03/31,0,-9
1,Schleswig-Holstein,SK Kiel,A35-A59,W,3,0,560160,2020/03/25,01002,2020/03/31,0,-9
