IdBundesland,Bundesland,Landkreis,Altersgruppe,Geschlecht,AnzahlFall,AnzahlTodesfall,FID,Meldedatum,IdLandkreis,Datenstand,NeuerFall,NeuerTodesfall
1,Schleswig-Holstein,SK Flensburg,A15-A34,M,1,0,810232,2020-03-14,01001,2020-04-06,0,-9
1,Schleswig-Holstein,SK Flensburg,A15-A34,M,2,0,810233,2020-03-19,01001,2020-04-06,0,-9
1,Schleswig-Holstein,SK Flensburg,A15-A34,M,1,0,810234,2020-03-21,01001,2020-04-06,0,-9
1,Schleswig-Holstein,SK Flensburg,A15-A34,M,1,0,810235,2020-03-27,01001,2020-04-06,0,-9
1,Schleswig-Holstein,SK Flensburg,A15-A34,M,1,0,810236,2020-04-04,01001,2020-04-06,0,-9
1,Schleswig-Holstein,SK Flensburg,A15-A34,W,1,0,810237,2020-03-14,01001,2020-04-06,0,-9
1,Schleswig-Holstein,SK Flensburg,A15-A34,W,2,0,810238,2020-03-18,01001,2020-04-06,0,-9
1,Schleswig-Holstein,SK Flensburg,A15-A34,W,1,0,810239,2020-03-28,01001,2020-04-06,0,-9
1,Schleswig-Holstein,SK Flensburg,A35-A59,M,1,0,810240,2020-03-14,01001,2020-04-06,0,-9
1,Schleswig-Holstein,SK Flensburg,A35-A59,M,1,0,810241,2020-03-20,01001,2020-04-06,0,-9
1,Schleswig-Holstein,SK Flensburg,A35-A59,W,1,0,810242,2020-03-14,01001,2020-04-06,0,-9
1,Schleswig-Holstein,SK Flensburg,A35-A59,W,2,0,810243,2020-03-19,01001,2020-04-06,0,-9
1,Schleswig-Holstein,SK Flensburg,A35-A59,W,1,0,810244,2020-03-20,01001,2020-04-06,0,-9
1,Schleswig-Holstein,SK Flensburg,A35-A59,W,1,0,810245,2020-03-28,01001,2020-04-06,0,-9
1,Schleswig-Holstein,SK Flensburg,A35-A59,W,1,0,810246,2020-03-29,01001,2020-04-06,0,-9
1,Schleswig-Holstein,SK Flensburg,A35-A59,W,1,0,810247,2020-04-03,01001,2020-04-06,0,-9
1,Schleswig-Holstein,SK Flensburg,A60-A79,M,1,1,810248,2020-03-24,01001,2020-04-06,0,0
1,Schleswig-Holstein,SK Flensburg,A60-A79,M,2,0,810249,2020-03-26,01001,2020-04-06,0,-9
1,Schleswig-Holstein,SK Flensburg,A60-A79,W,2,0,810250,2020-03-26,01001,2020-04-06,0,-9
1,Schleswig-Holstein,SK Flensburg,A60-A79,W,1,0,810251,2020-04-03,01001,2020-04-06,0,-9
1,Schleswig-Holstein,SK Flensburg,A80+,M,2,0,810252,2020-03-31,01001,2020-04-06,0,-9
1,Schleswig-Holstein,SK Flensburg,A80+,W,1,0,810253,2020-03-30,01001,2020-04-06,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,810254,2020-03-10,01002,2020-04-06,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,M,2,0,810255,2020-03-11,01002,2020-04-06,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,810256,2020-03-13,01002,2020-04-06,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,810257,2020-03-14,01002,2020-04-06,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,810258,2020-03-16,01002,2020-04-06,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,810259,2020-03-18,01002,2020-04-06,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,810260,2020-03-20,01002,2020-04-06,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,810261,2020-03-21,01002,2020-04-06,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,M,2,0,810262,2020-03-23,01002,2020-04-06,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,810263,2020-03-25,01002,2020-04-06,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,M,2,0,810264,2020-03-27,01002,2020-04-06,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,M,2,0,810265,2020-03-28,01002,2020-04-06,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,810266,2020-03-29,01002,2020-04-06,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,M,3,0,810267,2020-04-01,01002,2020-04-06,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,M,2,0,810268,2020-04-02,01002,2020-04-06,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,810269,2020-04-03,01002,2020-04-06,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,810270,2020-04-04,01002,2020-04-06,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,810271,2020-04-05,01002,2020-04-06,1,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,W,1,0,810272,2020-03-10,01002,2020-04-06,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,W,1,0,810273,2020-03-12,01002,2020-04-06,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,W,3,0,810274,2020-03-16,01002,2020-04-06,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,W,1,0,810275,2020-03-17,01002,2020-04-06,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,W,2,0,810276,2020-03-18,01002,2020-04-06,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,W,3,0,810277,2020-03-19,01002,2020-04-06,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,W,1,0,810278,2020-03-20,01002,2020-04-06,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,W,1,0,810279,2020-03-22,01002,2020-04-06,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,W,3,0,810280,2020-03-23,01002,2020-04-06,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,W,1,0,810281,2020-03-24,01002,2020-04-06,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,W,2,0,810282,2020-03-26,01002,2020-04-06,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,W,3,0,810283,2020-03-27,01002,2020-04-06,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,W,2,0,810284,2020-03-28,01002,2020-04-06,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,W,1,0,810285,2020-03-29,01002,2020-04-06,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,W,1,0,810286,2020-03-31,01002,2020-04-06,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,W,1,0,810287,2020-04-02,01002,2020-04-06,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,W,2,0,810288,2020-04-03,01002,2020-04-06,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,W,1,0,810289,2020-04-04,01002,2020-04-06,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,W,1,0,810290,2020-04-05,01002,2020-04-06,1,-9
1,Schleswig-Holstein,SK Kiel,A35-A59,M,1,0,810291,2020-03-11,01002,2020-04-06,0,-9
1,Schleswig-Holstein,SK Kiel,A35-A59,M,1,0,810292,2020-03-12,01002,2020-04-06,0,-9
1,Schleswig-Holstein,SK Kiel,A35-A59,M,3,0,810293,2020-03-19,01002,2020-04-06,0,-9
1,Schleswig-Holstein,SK Kiel,A35-A59,M,1,0,810294,2020-03-21,01002,2020-04-06,0,-9
1,Schleswig-Holstein,SK Kiel,A35-A59,M,1,0,810295,2020-03-24,01002,2020-04-06,0,-9
1,Schleswig-Holstein,SK Kiel,A35-A59,M,1,0,810296,2020-03-25,01002,2020-04-06,0,-9
1,Schleswig-Holstein,SK Kiel,A35-A59,M,1,0,810297,2020-03-26,01002,2020-04-06,0,-9
1,Schleswig-Holstein,SK Kiel,A35-A59,M,1,0,810298,2020-03-27,01002,2020-04-06,0,-9
1,Schleswig-Holstein,SK Kiel,A35-A59,M,1,0,810299,2020-03-28,01002,2020-04-06,0,-9
1,Schleswig-Holstein,SK Kiel,A35-A59,M,2,0,810300,2020-03-30,01002,2020-04-06,0,-9
1,Schleswig-Holstein,SK Kiel,A35-A59,M,1,0,810301,2020-03-31,01002,2020-04-06,0,-9
1,Schleswig-Holstein,SK Kiel,A35-A59,M,1,0,810302,2020-04-01,01002,2020-04-06,0,-9
