IdBundesland,Bundesland,Landkreis,Altersgruppe,Geschlecht,AnzahlFall,AnzahlTodesfall,ObjectId,Meldedatum,IdLandkreis,Datenstand,NeuerFall,NeuerTodesfall
3,Niedersachsen,LK Vechta,A60-A79,M,4,0,706589,2020-03-30T00:00:00.000Z,03460,"04.04.2020, 00:00 Uhr",0,-9
3,Niedersachsen,LK Vechta,A60-A79,M,2,0,706590,2020-03-31T00:00:00.000Z,03460,"04.04.2020, 00:00 Uhr",0,-9
3,Niedersachsen,LK Vechta,A60-A79,M,2,0,706591,2020-04-01T00:00:00.000Z,03460,"04.04.2020, 00:00 Uhr",0,-9
3,Niedersachsen,LK Vechta,A60-A79,M,1,0,706592,2020-04-02T00:00:00.000Z,03460,"04.04.2020, 00:00 Uhr",0,-9
3,Niedersachsen,LK Vechta,A60-A79,M,1,0,706593,2020-04-03T00:00:00.000Z,03460,"04.04.2020, 00:00 Uhr",1,-9
3,Niedersachsen,LK Vechta,A60-A79,W,1,0,706594,2020-03-14T00:00:00.000Z,03460,"04.04.2020, 00:00 Uhr",0,-9
3,Niedersachsen,LK Vechta,A60-A79,W,1,0,706595,2020-03-16T00:00:00.000Z,03460,"04.04.2020, 00:00 Uhr",0,-9
3,Niedersachsen,LK Vechta,A60-A79,W,2,0,706596,2020-03-18T00:00:00.000Z,03460,"04.04.2020, 00:00 Uhr",0,-9
3,Niedersachsen,LK Vechta,A60-A79,W,3,0,706597,2020-03-21T00:00:00.000Z,03460,"04.04.2020, 00:00 Uhr",0,-9
3,Niedersachsen,LK Vechta,A60-A79,W,1,0,706598,2020-03-23T00:00:00.000Z,03460,"04.04.2020, 00:00 Uhr",0,-9
3,Niedersachsen,LK Vechta,A60-A79,W,2,0,706599,2020-03-24T00:00:00.000Z,03460,"04.04.2020, 00:00 Uhr",0,-9
3,Niedersachsen,LK Vechta,A60-A79,W,3,0,706600,2020-03-25T00:00:00.000Z,03460,"04.04.2020, 00:00 Uhr",0,-9
3,Niedersachsen,LK Vechta,A60-A79,W,5,0,706601,2020-03-27T00:00:00.000Z,03460,"04.04.2020, 00:00 Uhr",0,-9
3,Niedersachsen,LK Vechta,A60-A79,W,2,0,706602,2020-03-31T00:00:00.000Z,03460,"04.04.2020, 00:00 Uhr",0,-9
3,Niedersachsen,LK Vechta,A60-A79,W,4,0,706603,2020-04-01T00:00:00.000Z,03460,"04.04.2020, 00:00 Uhr",0,-9
3,Niedersachsen,LK Vechta,A60-A79,W,1,0,706604,2020-04-02T00:00:00.000Z,03460,"04.04.2020, 00:00 Uhr",0,-9
3,Niedersachsen,LK Vechta,A60-A79,W,1,0,706605,2020-04-03T00:00:00.000Z,03460,"04.04.2020, 00:00 Uhr",1,-9
3,Niedersachsen,LK Vechta,A80+,M,1,0,706606,2020-03-25T00:00:00.000Z,03460,"04.04.2020, 00:00 Uhr",0,-9
3,Niedersachsen,LK Vechta,A80+,M,1,0,706607,2020-03-27T00:00:00.000Z,03460,"04.04.2020, 00:00 Uhr",0,-9
3,Niedersachsen,LK Vechta,A80+,M,1,1,706608,2020-03-30T00:00:00.000Z,03460,"04.04.2020, 00:00 Uhr",0,0
3,Niedersachsen,LK Vechta,A80+,M,1,0,706609,2020-04-01T00:00:00.000Z,03460,"04.04.2020, 00:00 Uhr",0,-9
3,Niedersachsen,LK Vechta,A80+,W,2,0,706610,2020-03-21T00:00:00.000Z,03460,"04.04.2020, 00:00 Uhr",0,-9
3,Niedersachsen,LK Vechta,A80+,W,1,0,706611,2020-03-27T00:00:00.000Z,03460,"04.04.2020, 00:00 Uhr",0,-9
3,Niedersachsen,LK Vechta,A80+,W,1,0,706612,2020-03-31T00:00:00.000Z,03460,"04.04.2020, 00:00 Uhr",0,-9
3,Niedersachsen,LK Vechta,A80+,W,5,0,706613,2020-04-01T00:00:00.000Z,03460,"04.04.2020, 00:00 Uhr",0,-9
3,Niedersachsen,LK Vechta,A80+,W,1,0,706614,2020-04-03T00:00:00.000Z,03460,"04.04.2020, 00:00 Uhr",1,-9
3,Niedersachsen,LK Wesermarsch,A00-A04,M,1,0,706615,2020-03-27T00:00:00.000Z,03461,"04.04.2020, 00:00 Uhr",0,-9
3,Niedersachsen,LK Wesermarsch,A15-A34,M,1,0,706616,2020-03-24T00:00:00.000Z,03461,"04.04.2020, 00:00 Uhr",0,-9
3,Niedersachsen,LK Wesermarsch,A15-A34,M,1,0,706617,2020-03-25T00:00:00.000Z,03461,"04.04.2020, 00:00 Uhr",0,-9
3,Niedersachsen,LK Wesermarsch,A15-A34,M,2,0,706618,2020-03-27T00:00:00.000Z,03461,"04.04.2020, 00:00 Uhr",0,-9
3,Niedersachsen,LK Wesermarsch,A15-A34,M,1,0,706619,2020-04-02T00:00:00.000Z,03461,"04.04.2020, 00:00 Uhr",0,-9
3,Niedersachsen,LK Wesermarsch,A15-A34,W,2,0,706620,2020-03-22T00:00:00.000Z,03461,"04.04.2020, 00:00 Uhr",0,-9
3,Niedersachsen,LK Wesermarsch,A15-A34,W,3,0,706621,2020-03-25T00:00:00.000Z,03461,"04.04.2020, 00:00 Uhr",0,-9
3,Niedersachsen,LK Wesermarsch,A35-A59,M,3,0,706622,2020-03-18T00:00:00.000Z,03461,"04.04.2020, 00:00 Uhr",0,-9
3,Niedersachsen,LK Wesermarsch,A35-A59,M,1,0,706623,2020-03-22T00:00:00.000Z,03461,"04.04.2020, 00:00 Uhr",0,-9
3,Niedersachsen,LK Wesermarsch,A35-A59,M,4,0,706624,2020-03-25T00:00:00.000Z,03461,"04.04.2020, 00:00 Uhr",0,-9
3,Niedersachsen,LK Wesermarsch,A35-A59,M,3,0,706625,2020-03-26T00:00:00.000Z,03461,"04.04.2020, 00:00 Uhr",0,-9
3,Niedersachsen,LK Wesermarsch,A35-A59,M,1,0,706626,2020-03-27T00:00:00.000Z,03461,"04.04.2020, 00:00 Uhr",0,-9
3,Niedersachsen,LK Wesermarsch,A35-A59,M,1,0,706627,2020-03-28T00:00:00.000Z,03461,"04.04.2020, 00:00 Uhr",0,-9
