IdBundesland,Bundesland,Landkreis,Altersgruppe,Geschlecht,AnzahlFall,AnzahlTodesfall,ObjectId,Meldedatum,IdLandkreis,Datenstand,NeuerFall,NeuerTodesfall
1,Schleswig-Holstein,SK Flensburg,A15-A34,M,1,0,611650,2020-03-14T00:00:00.000Z,01001,01.04.2020 00:00,0,-9
1,Schleswig-Holstein,SK Flensburg,A15-A34,M,2,0,611651,2020-03-19T00:00:00.000Z,01001,01.04.2020 00:00,0,-9
1,Schleswig-Holstein,SK Flensburg,A15-A34,M,1,0,611652,2020-03-21T00:00:00.000Z,01001,01.04.2020 00:00,0,-9
1,Schleswig-Holstein,SK Flensburg,A15-A34,M,1,0,611653,2020-03-27T00:00:00.000Z,01001,01.04.2020 00:00,0,-9
1,Schleswig-Holstein,SK Flensburg,A15-A34,W,1,0,611654,2020-03-14T00:00:00.000Z,01001,01.04.2020 00:00,0,-9
1,Schleswig-Holstein,SK Flensburg,A15-A34,W,2,0,611655,2020-03-18T00:00:00.000Z,01001,01.04.2020 00:00,0,-9
1,Schleswig-Holstein,SK Flensburg,A15-A34,W,1,0,611656,2020-03-28T00:00:00.000Z,01001,01.04.2020 00:00,0,-9
1,Schleswig-Holstein,SK Flensburg,A35-A59,M,1,0,611657,2020-03-14T00:00:00.000Z,01001,01.04.2020 00:00,0,-9
1,Schleswig-Holstein,SK Flensburg,A35-A59,M,1,0,611658,2020-03-20T00:00:00.000Z,01001,01.04.2020 00:00,0,-9
1,Schleswig-Holstein,SK Flensburg,A35-A59,W,1,0,611659,2020-03-14T00:00:00.000Z,01001,01.04.2020 00:00,0,-9
1,Schleswig-Holstein,SK Flensburg,A35-A59,W,2,0,611660,2020-03-19T00:00:00.000Z,01001,01.04.2020 00:00,0,-9
1,Schleswig-Holstein,SK Flensburg,A35-A59,W,1,0,611661,2020-03-20T00:00:00.000Z,01001,01.04.2020 00:00,0,-9
1,Schleswig-Holstein,SK Flensburg,A35-A59,W,1,0,611662,2020-03-28T00:00:00.000Z,01001,01.04.2020 00:00,0,-9
1,Schleswig-Holstein,SK Flensburg,A35-A59,W,1,0,611663,2020-03-29T00:00:00.000Z,01001,01.04.2020 00:00,0,-9
1,Schleswig-Holstein,SK Flensburg,A60-A79,M,1,0,611664,2020-03-24T00:00:00.000Z,01001,01.04.2020 00:00,0,-9
1,Schleswig-Holstein,SK Flensburg,A60-A79,M,2,0,611665,2020-03-26T00:00:00.000Z,01001,01.04.2020 00:00,0,-9
1,Schleswig-Holstein,SK Flensburg,A60-A79,W,2,0,611666,2020-03-26T00:00:00.000Z,01001,01.04.2020 00:00,0,-9
1,Schleswig-Holstein,SK Flensburg,A80+,M,2,0,611667,2020-03-31T00:00:00.000Z,01001,01.04.2020 00:00,1,-9
1,Schleswig-Holstein,SK Flensburg,A80+,W,1,0,611668,2020-03-30T00:00:00.000Z,01001,01.04.2020 00:00,1,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,611669,2020-03-10T00:00:00.000Z,01002,01.04.2020 00:00,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,M,2,0,611670,2020-03-11T00:00:00.000Z,01002,01.04.2020 00:00,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,611671,2020-03-13T00:00:00.000Z,01002,01.04.2020 00:00,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,611672,2020-03-14T00:00:00.000Z,01002,01.04.2020 00:00,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,611673,2020-03-16T00:00:00.000Z,01002,01.04.2020 00:00,0,-9
1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,611674,2020-03-18T00:00:00.000Z,01002,01.04.2020 00:00,0,-9
