"ID1";"ID";"﻿IdBundesland";"Bundesland";"Landkreis";"Altersgruppe";"Geschlecht";"AnzahlFall";"AnzahlTodesfall";"ObjectId";"ObjectId_different";"Meldedatum";"IdLandkreis";"Datenstand";"NeuerFall";"NeuerTodesfall";"Refdatum";"NeuGenesen";"AnzahlGenesen"
40;45000,00;8,00;"Baden-Württemberg";"LK Rhein-Neckar-Kreis";"A60-A79";"W";1,00;0,00;1627303,00;6000,00;16.3.2020;8226,00;10.4.2020;0,00;-9,00;11.3.2020;0,00;1,00
41;48000,00;8,00;"Baden-Württemberg";"LK Tübingen";"A80+";"W";1,00;0,00;1633303,00;-3000,00;31.3.2020;8416,00;10.4.2020;0,00;-9,00;22.3.2020;-9,00;0,00
42;49000,00;8,00;"Baden-Württemberg";"LK Ortenaukreis";"A35-A59";"W";2,00;0,00;1630303,00;-1000,00;27.3.2020;8317,00;10.4.2020;0,00;-9,00;16.3.2020;0,00;2,00
43;50000,00;8,00;"Baden-Württemberg";"LK Breisgau-Hochschwarzwald";"A35-A59";"W";1,00;0,00;1629303,00;7000,00;18.3.2020;8315,00;10.4.2020;0,00;-9,00;15.3.2020;-9,00;0,00
44;53000,00;9,00;"Bayern";"SK München";"A35-A59";"M";2,00;0,00;1636303,00;4000,00;19.3.2020;9162,00;10.4.2020;0,00;-9,00;14.3.2020;-9,00;0,00
45;56000,00;9,00;"Bayern";"LK Landsberg a.Lech";"A15-A34";"W";2,00;0,00;1640303,00;-3000,00;25.3.2020;9181,00;10.4.2020;0,00;-9,00;25.3.2020;-9,00;0,00
46;57000,00;9,00;"Bayern";"LK Altötting";"A35-A59";"W";1,00;0,00;1637303,00;6000,00;1.4.2020;9171,00;10.4.2020;0,00;-9,00;23.3.2020;-9,00;0,00
47;58000,00;9,00;"Bayern";"LK Deggendorf";"A35-A59";"M";1,00;0,00;1643303,00;-1000,00;19.3.2020;9271,00;10.4.2020;0,00;-9,00;19.3.2020;0,00;1,00
48;59000,00;9,00;"Bayern";"LK Traunstein";"A35-A59";"M";1,00;0,00;1642303,00;-1000,00;23.3.2020;9189,00;10.4.2020;0,00;-9,00;18.3.2020;0,00;1,00
49;60000,00;9,00;"Bayern";"LK Pfaffenhofen a.d.Ilm";"A35-A59";"M";1,00;0,00;1641303,00;3000,00;1.4.2020;9186,00;10.4.2020;0,00;-9,00;21.3.2020;0,00;1,00
50;61000,00;9,00;"Bayern";"LK Passau";"A15-A34";"W";1,00;0,00;1644303,00;3000,00;24.3.2020;9275,00;10.4.2020;0,00;-9,00;23.3.2020;0,00;1,00
51;63000,00;9,00;"Bayern";"LK Tirschenreuth";"A15-A34";"W";1,00;0,00;1647303,00;-1000,00;21.3.2020;9377,00;10.4.2020;0,00;-9,00;16.3.2020;0,00;1,00
52;65000,00;9,00;"Bayern";"LK Cham";"A60-A79";"M";1,00;0,00;1646303,00;4000,00;24.3.2020;9372,00;10.4.2020;0,00;-9,00;24.3.2020;0,00;1,00
53;66000,00;9,00;"Bayern";"SK Nürnberg";"A80+";"M";1,00;0,00;1650303,00;-1000,00;30.3.2020;9564,00;10.4.2020;0,00;-9,00;29.3.2020;-9,00;0,00
54;67000,00;9,00;"Bayern";"LK Wunsiedel i.Fichtelgebirge";"A35-A59";"M";1,00;0,00;1649303,00;3000,00;8.4.2020;9479,00;10.4.2020;0,00;-9,00;23.3.2020;0,00;1,00
55;69000,00;9,00;"Bayern";"LK Aschaffenburg";"A60-A79";"M";1,00;0,00;1652303,00;2000,00;8.4.2020;9671,00;10.4.2020;0,00;-9,00;28.3.2020;-9,00;0,00
56;70000,00;9,00;"Bayern";"LK Dillingen a.d.Donau";"A35-A59";"M";1,00;0,00;1654303,00;-1000,00;27.3.2020;9773,00;10.4.2020;0,00;-9,00;22.3.2020;0,00;1,00
57;71000,00;9,00;"Bayern";"LK Würzburg";"A15-A34";"M";2,00;0,00;1653303,00;2000,00;28.3.2020;9679,00;10.4.2020;0,00;-9,00;28.3.2020;-9,00;0,00
58;72000,00;9,00;"Bayern";"LK Donau-Ries";"A35-A59";"W";1,00;0,00;1655303,00;3000,00;25.3.2020;9779,00;10.4.2020;0,00;-9,00;15.3.2020;0,00;1,00
59;73000,00;11,00;"Berlin";"SK Berlin Charlottenburg-Wilmersdorf";"A35-A59";"M";1,00;0,00;1658303,00;-1000,00;19.3.2020;11004,00;10.4.2020;0,00;-9,00;16.3.2020;0,00;1,00
60;74000,00;11,00;"Berlin";"SK Berlin Mitte";"A35-A59";"W";2,00;0,00;1657303,00;-1000,00;31.3.2020;11001,00;10.4.2020;0,00;-9,00;19.3.2020;0,00;2,00
61;75000,00;10,00;"Saarland";"LK Saarlouis";"A15-A34";"M";1,00;0,00;1656303,00;3000,00;7.4.2020;10044,00;10.4.2020;0,00;-9,00;1.4.2020;-9,00;0,00
62;76000,00;11,00;"Berlin";"SK Berlin Tempelhof-Schöneberg";"A35-A59";"W";1,00;0,00;1659303,00;2000,00;27.3.2020;11007,00;10.4.2020;0,00;-9,00;20.3.2020;0,00;1,00
63;77000,00;12,00;"Brandenburg";"LK Elbe-Elster";"A35-A59";"W";1,00;0,00;1661303,00;2000,00;26.3.2020;12062,00;10.4.2020;0,00;-9,00;23.3.2020;0,00;1,00
64;78000,00;14,00;"Sachsen";"LK Vogtlandkreis";"A05-A14";"W";1,00;0,00;1663303,00;-3000,00;20.3.2020;14523,00;10.4.2020;0,00;-9,00;14.3.2020;0,00;1,00
65;79000,00;11,00;"Berlin";"SK Berlin Lichtenberg";"A35-A59";"W";1,00;0,00;1660303,00;4000,00;16.3.2020;11011,00;10.4.2020;0,00;-9,00;14.3.2020;0,00;1,00
66;80000,00;14,00;"Sachsen";"LK Görlitz";"A35-A59";"M";1,00;0,00;1664303,00;-2000,00;27.3.2020;14626,00;10.4.2020;0,00;-9,00;23.3.2020;0,00;1,00
67;81000,00;13,00;"Mecklenburg-Vorpommern";"SK Schwerin";"A15-A34";"W";1,00;0,00;1662303,00;5367,00;20.3.2020;13004,00;10.4.2020;0,00;-9,00;17.3.2020;0,00;1,00
68;81367,00;16,00;"Thüringen";"LK Altenburger Land";"A80+";"M";1,00;0,00;1667670,00;-1367,00;27.3.2020;16077,00;10.4.2020;0,00;-9,00;23.3.2020;0,00;1,00
69;82367,00;15,00;"Sachsen-Anhalt";"LK Wittenberg";"A80+";"M";1,00;0,00;1666303,00;-1000,00;26.3.2020;15091,00;10.4.2020;0,00;-9,00;12.3.2020;0,00;1,00
70;83367,00;14,00;"Sachsen";"LK Nordsachsen";"A35-A59";"W";1,00;0,00;1665303,00;2000,00;28.3.2020;14730,00;10.4.2020;0,00;-9,00;28.3.2020;-9,00;0,00
71;;;"Summe Aenderungen";;;;;;;83000,00;;;;;;;;
72;84367,00;16,00;"Thüringen";"LK Saalfeld-Rudolstadt";"A60-A79";"Letzer Satz ";1,00;0,00;1667303,00;-1667303,00;1.4.2020;16073,00;10.4.2020;0,00;-9,00;1.4.2020;-9,00;0,00
