IdBundesland,Bundesland,Landkreis,Altersgruppe,Geschlecht,AnzahlFall,AnzahlTodesfall,ObjectId,Meldedatum,IdLandkreis,Datenstand,NeuerFall,NeuerTodesfall
3,Niedersachsen,SK Wolfsburg,A60-A79,M,1,0,465283,2020-03-26,03103,2020-03-29,0,-9
3,Niedersachsen,SK Wolfsburg,A60-A79,M,4,0,465284,2020-03-27,03103,2020-03-29,1,-9
3,Niedersachsen,SK Wolfsburg,A60-A79,W,1,1,465285,2020-03-18,03103,2020-03-29,0,0
3,Niedersachsen,SK Wolfsburg,A60-A79,W,1,0,465286,2020-03-20,03103,2020-03-29,0,-9
3,Niedersachsen,SK Wolfsburg,A60-A79,W,1,0,465287,2020-03-22,03103,2020-03-29,0,-9
3,Niedersachsen,SK Wolfsburg,A60-A79,W,1,0,465288,2020-03-24,03103,2020-03-29,0,-9
3,Niedersachsen,SK Wolfsburg,A60-A79,W,2,0,465289,2020-03-25,03103,2020-03-29,0,-9
3,Niedersachsen,SK Wolfsburg,A60-A79,W,1,0,465290,2020-03-26,03103,2020-03-29,1,-9
3,Niedersachsen,SK Wolfsburg,A60-A79,W,1,1,465291,2020-03-27,03103,2020-03-29,1,1
3,Niedersachsen,SK Wolfsburg,A60-A79,W,7,0,465292,2020-03-27,03103,2020-03-29,1,-9
3,Niedersachsen,SK Wolfsburg,A80+,M,2,0,465293,2020-03-18,03103,2020-03-29,0,-9
3,Niedersachsen,SK Wolfsburg,A80+,M,1,0,465294,2020-03-21,03103,2020-03-29,0,-9
3,Niedersachsen,SK Wolfsburg,A80+,M,1,0,465295,2020-03-25,03103,2020-03-29,0,-9
3,Niedersachsen,SK Wolfsburg,A80+,M,1,1,465296,2020-03-25,03103,2020-03-29,0,1
3,Niedersachsen,SK Wolfsburg,A80+,M,1,1,465297,2020-03-27,03103,2020-03-29,1,1
3,Niedersachsen,SK Wolfsburg,A80+,M,4,0,465298,2020-03-27,03103,2020-03-29,1,-9
3,Niedersachsen,SK Wolfsburg,A80+,W,1,0,465299,2020-03-13,03103,2020-03-29,0,-9
3,Niedersachsen,SK Wolfsburg,A80+,W,1,0,465300,2020-03-20,03103,2020-03-29,0,-9
3,Niedersachsen,SK Wolfsburg,A80+,W,1,1,465301,2020-03-23,03103,2020-03-29,0,0
3,Niedersachsen,SK Wolfsburg,A80+,W,2,2,465302,2020-03-25,03103,2020-03-29,0,1
